oid,mjd,fid,ra,dec,isdiffpos,mag_used,err_used
ZTF18aajtltx,58719.2699190001,2,274.3822707,58.4936491,1,19.258368,0.18180549
ZTF18aajtltx,58720.28597219987,2,274.3822609,58.493583,1,18.788218,0.16553532
ZTF18aajtltx,58720.28645829996,2,274.3823024,58.4936335,1,19.0753,0.2305998500000009
ZTF18aajtltx,58720.310914400034,1,274.3821796,58.4936464,1,19.37839,0.2305998500000009
ZTF18aajtltx,58720.311400500126,1,274.3824178,58.4935749,1,19.37839,0.2305998500000009
ZTF18aajtltx,58722.265497699846,2,274.3824604,58.4935674,1,19.3339,0.2305998500000009
ZTF18aajtltx,58722.290983799845,1,274.3822177,58.4936437,1,19.37839,0.20342682
ZTF18aajtltx,58722.29145829985,1,274.382273,58.4936379,1,19.37839,0.2305998500000009
ZTF18aajtltx,58723.29000000004,2,274.3824672,58.4935635,1,18.89962,0.15413153
ZTF18aajtltx,58723.3129745,1,274.3821954,58.4937285,1,19.1552,0.219894
ZTF18aajtltx,58724.2895717998,2,274.3822599,58.4935256,1,19.058924,0.16272296
ZTF18aajtltx,58724.29004629981,2,274.3820709,58.4936567,1,19.2581,0.2305998500000009
ZTF18aajtltx,58724.3130092998,1,274.3823295,58.4936362,1,19.37839,0.2305998500000009
ZTF18aajtltx,58725.26350690005,2,274.3823113,58.493605,1,18.657185,0.14850642
ZTF18aajtltx,58725.263981500175,2,274.3824582,58.4936786,1,18.7851,0.207814
ZTF18aajtltx,58725.28930559987,1,274.3822646,58.4935718,1,19.37839,0.19057561
ZTF18aajtltx,58725.28978009988,1,274.3821597,58.4936171,1,19.37839,0.21567944
ZTF18aajtltx,58725.29348379979,1,274.3822435,58.493565,1,19.37839,0.14806578
ZTF18aajtltx,58726.29060189985,1,274.3821917,58.4936683,1,19.37839,0.21050791
ZTF18aajtltx,58726.29476850014,1,274.3819917,58.4934348,1,19.37839,0.228116
ZTF18aajtltx,58727.28966439981,2,274.3822748,58.4936549,1,18.833145,0.21276711
ZTF18aajtltx,58727.2933565001,2,274.3823251,58.4935838,1,19.027435,0.21229059
ZTF18aajtltx,58727.31255789986,1,274.3823172,58.4936686,1,19.37839,0.221262
ZTF18aajtltx,58727.31618059985,1,274.3822909,58.4935677,1,19.37839,0.19365726
ZTF18aajtltx,58730.2652083002,2,274.3823484,58.4935096,1,19.248884,0.16947427
ZTF18aajtltx,58730.26569439983,2,274.3823043,58.4936926,1,18.8078,0.2305998500000009
ZTF18aajtltx,58730.28978009988,1,274.3822472,58.4936954,1,19.37839,0.2305998500000009
ZTF18aajtltx,58730.33628469985,2,274.3822036,58.493505,1,18.6909,0.168121
ZTF18aajtltx,58732.18203700008,1,274.3824025,58.4934883,1,19.37839,0.154923
ZTF18aajtltx,58732.26385420002,2,274.3821192,58.4935393,1,18.935968,0.1687151
ZTF18aajtltx,58732.26434030011,2,274.382342,58.4936408,1,18.68466,0.1995532
ZTF18aajtltx,58732.26803239994,2,274.3822893,58.4935196,1,19.35924,0.14532705
ZTF18aajtltx,58732.28758100001,1,274.3820551,58.4936061,1,19.37839,0.2305998500000009
ZTF18aajtltx,58732.28805560013,1,274.3821682,58.4936457,1,19.37839,0.19697487
ZTF18aajtltx,58732.29174769996,1,274.3821365,58.4935959,1,19.37839,0.228123
ZTF18aajtltx,58732.35415509995,1,274.3822529,58.4935595,1,19.37839,0.230181
ZTF18aajtltx,58732.361944399774,1,274.3820243,58.4934325,1,19.37839,0.2305998500000009
ZTF18aajtltx,58733.26392359985,2,274.3822283,58.4936668,1,18.976742,0.19308694
ZTF18aajtltx,58733.28738430003,1,274.3824839,58.4935938,1,19.37839,0.2305998500000009
ZTF18aajtltx,58733.35387729993,1,274.3826986,58.493595,1,19.37839,0.209931
ZTF18aajtltx,58734.22432869999,1,274.3823425,58.493515,1,19.37839,0.2305998500000009
ZTF18aajtltx,58734.225243099965,1,274.3824353,58.4936568,1,19.37839,0.177159
ZTF18aajtltx,58734.2358448999,1,274.3823661,58.4935264,1,19.37839,0.228039
ZTF18aajtltx,58734.2647338002,2,274.3823838,58.4935173,1,18.73682,0.13391764
ZTF18aajtltx,58734.2652083002,2,274.3823267,58.4936843,1,18.748323,0.16456792
ZTF18aajtltx,58734.28814810002,1,274.3823728,58.4935991,1,19.309132,0.18842413
ZTF18aajtltx,58734.28863430023,1,274.3822745,58.4936647,1,19.37839,0.15425798
ZTF18aajtltx,58734.29231479997,1,274.3823426,58.4935623,1,19.37839,0.18457045
ZTF18aajtltx,58734.31614580005,2,274.3822543,58.4936948,1,18.7762,0.154136
ZTF18aajtltx,58734.31704859994,2,274.3821828,58.4935622,1,19.1043,0.1597
ZTF18aajtltx,58734.33505789982,2,274.3824069,58.4935456,1,18.7792,0.124517
ZTF18aajtltx,58734.34337959997,2,274.3820827,58.4936227,1,18.9071,0.201644
ZTF18aajtltx,58734.35278940015,1,274.3823475,58.4934942,1,19.37839,0.208778
ZTF18aajtltx,58734.3601735998,1,274.382575,58.4935612,1,19.37839,0.2305998500000009
ZTF18aajtltx,58735.24437499978,2,274.3820788,58.4935535,1,19.2501,0.131248
ZTF18aajtltx,58735.26332180016,2,274.3822795,58.4935372,1,19.09368,0.19933733
ZTF18aajtltx,58735.26379630016,2,274.3823409,58.4936655,1,18.939274,0.20984153
ZTF18aajtltx,58735.26748839999,2,274.3822503,58.493683,1,19.065208,0.19402033
ZTF18aajtltx,58735.28721059999,1,274.3822033,58.4937759,1,19.37839,0.21446246
ZTF18aajtltx,58735.334838000126,2,274.3821341,58.4936614,1,19.1104,0.226812
ZTF18aajtltx,58735.35258099996,1,274.3820599,58.4936452,1,19.37839,0.228533
ZTF18aajtltx,58736.27300930023,2,274.382264,58.4935583,1,18.64134,0.17310114
ZTF18aajtltx,58736.27349539986,2,274.3822355,58.4936858,1,18.837866,0.21677566
ZTF18aajtltx,58736.27718750015,2,274.3821003,58.4936501,1,19.0334,0.217295
ZTF18aajtltx,58736.2957870001,1,274.3822512,58.4937451,1,19.11852,0.19472541
ZTF18aajtltx,58736.29626160022,1,274.3821323,58.4936783,1,19.3475,0.229579
ZTF18aajtltx,58736.29940970009,1,274.3822695,58.4936481,1,19.283667,0.17012227
ZTF18aajtltx,58736.33612270001,2,274.3820558,58.4936269,1,18.6872,0.150251
ZTF18aajtltx,58736.34393520001,2,274.3822502,58.4935899,1,18.9486,0.147639
ZTF18aajtltx,58736.35335650016,1,274.3821355,58.4936706,1,19.2951,0.206664
ZTF18aajtltx,58736.36112269992,1,274.3822177,58.4936513,1,19.2219,0.188182
ZTF18aajtltx,58738.15459490009,2,274.3823433,58.4937086,1,18.753246,0.18202204
ZTF18aajtltx,58738.15505790012,2,274.3822374,58.4936641,1,18.920607,0.16787644
ZTF18aajtltx,58738.15604169993,2,274.3823514,58.4936118,1,18.843166,0.17905197
ZTF18aajtltx,58738.18782409979,1,274.3822509,58.4937049,1,18.988945,0.20775218
ZTF18aajtltx,58738.18828700017,1,274.3823802,58.4935152,1,19.37839,0.2305998500000009
ZTF18aajtltx,58738.220949099865,2,274.382156,58.4935685,1,18.7604,0.170598
ZTF18aajtltx,58739.15335649997,2,274.3823065,58.493636,1,18.3761,0.2305998500000009
ZTF18aajtltx,58739.15480320016,2,274.3823108,58.4935589,1,19.2308,0.2305998500000009
ZTF18aajtltx,58739.18687500013,1,274.3822988,58.4935918,1,19.1937,0.2305998500000009
ZTF18aajtltx,58739.21069440013,2,274.3822053,58.4935065,1,19.2042,0.2305998500000009
ZTF18aajtltx,58740.15395830013,2,274.3823477,58.4935835,1,19.37839,0.220289
ZTF18aajtltx,58740.18663189979,1,274.3823287,58.4936536,1,19.37839,0.2305998500000009
ZTF18aajtltx,58740.21097220015,2,274.3822649,58.4935834,1,19.3414,0.2305998500000009
ZTF18aajtltx,58741.15354169998,2,274.3822983,58.4935953,1,18.625006,0.18872318
ZTF18aajtltx,58741.211041700095,2,274.3821953,58.4935599,1,18.9139,0.2305998500000009
ZTF18aajtltx,58741.22076389985,2,274.3824534,58.4936174,1,18.8468,0.175311
ZTF18aajtltx,58743.13337960001,1,274.382803,58.4933297,1,19.37839,0.2305998500000009
ZTF18aajtltx,58743.15511569986,2,274.3822869,58.4936461,1,18.542185,0.13170615
